"","errLimit","percentage","benchmark"
"1","0",100,"Lreg"
"2","0.1",71.4285714285714,"Lreg"
"3","0.2",71.4285714285714,"Lreg"
"4","0.3",71.4285714285714,"Lreg"
"5","0.4",71.4285714285714,"Lreg"
"6","0.5",71.4285714285714,"Lreg"
"7","1",71.4285714285714,"Lreg"
"8","2",71.4285714285714,"Lreg"
"9","3",71.4285714285714,"Lreg"
"10","4",71.4285714285714,"Lreg"
"11","5",71.4285714285714,"Lreg"
"12","8",71.4285714285714,"Lreg"
"13","10",71.4285714285714,"Lreg"
"14","12",71.4285714285714,"Lreg"
"15","15",71.4285714285714,"Lreg"
